trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	fix_onset_time	pd_parser_sample
1	1	fast	0.5	0.6	left	80	1.1721	0.36173	1.4324	1.4055	2.5872	6.3291	6.3291	76551
2	1	fast	0.6	0.4	right	79	1.0769	0.31819	1.3374	1.4055	2.3975	6.2347	12.5638	82838
3	1	fast	0.5	0.3	right	79	0.86656	0.31994	1.138	1.4055	1.9874	6.0328	18.5966	89074
4	1	fast	0.7	0.5	right	79	0.78578	0.32251	1.5285	1.4055	2.2952	6.4214	25.018	95111
5	1	fast	0.6	0.7	left	80	1.2	0.32154	1.6415	1.4055	2.8248	6.5392	31.5572	101531
6	1	fast	0.3	0.5	right	79	0.62383	0.33477	1.1371	1.4055	1.7464	6.0351	37.5923	108084
7	1	fast	0.3	0.6	right	79	0.8925	0.31884	1.2383	1.4055	2.1138	6.1365	43.7288	114104
8	1	fast	0.5	0.6	right	79	0.71187	0.33456	1.4378	1.4055	2.1327	6.3328	50.0616	120257
9	1	fast	0.7	0.5	right	79	0.9251	0.32157	1.5239	1.4055	2.4317	6.4186	56.4802	126577
10	1	fast	0.3	0.6	right	79	0.58906	0.32351	1.2261	1.4055	1.798	6.1209	62.6011	132997
11	1	fast	0.5	0.3	left	80	1.0552	0.32196	1.1241	1.4055	2.1623	6.0192	68.6203	139116
12	1	fast	0.7	0.5	left	80	1.3845	0.32188	1.5246	1.4055	2.8916	6.4217	75.042	145136
13	1	fast	0.4	0.7	left	80	1.2418	0.33655	1.4392	1.4055	2.6637	6.3351	81.3771	151573
14	1	fast	0.4	0.3	right	79	0.60559	0.33732	1.0243	1.4055	1.6119	5.9184	87.2955	157909
15	1	fast	0.3	0.6	right	79	0.62156	0.33872	1.2237	1.4055	1.8281	6.1187	93.4142	163829
16	1	fast	0.7	0.6	right	79	0.78354	0.34025	1.6262	1.4055	2.3922	6.5209	99.9351	169949
17	1	fast	0.5	0.7	right	79	0.94496	0.33884	1.5243	1.4055	2.4521	6.4197	106.3548	176469
18	1	fast	0.7	0.7	left	80	0.98678	0.3391	1.7253	1.4055	2.6946	6.62	112.9748	182889
19	1	fast	0.4	0.4	right	79	0.72564	0.3388	1.1241	1.4055	1.8324	6.019	118.9938	189509
20	1	fast	0.5	0.4	right	79	0.95944	0.33918	1.2265	1.4055	2.1659	6.1188	125.1126	195528
21	0	fast	0.4	0.4	left	80	1.4349	0.3396	1.1265	1.4055	2.5436	6.0214	131.134	201648
22	1	fast	0.3	0.6	left	80	1.0251	0.33758	1.2244	1.4055	2.2314	6.124	137.258	207668
23	1	fast	0.6	0.4	left	80	1.0941	0.33354	1.3355	1.4055	2.412	6.2302	143.4882	213788
24	1	fast	0.4	0.5	left	80	1.122	0.33924	1.2252	1.4055	2.3298	6.1203	149.6085	220024
25	1	fast	0.4	0.3	right	79	1.0886	0.33899	1.0252	1.4055	2.0962	5.9198	155.5283	226144
26	1	fast	0.6	0.3	right	79	0.84686	0.3379	1.2237	1.4055	2.053	6.1187	161.647	232064
27	1	fast	0.6	0.4	left	80	0.7957	0.33914	1.3257	1.4055	2.1031	6.2199	167.8669	238183
28	1	fast	0.7	0.3	left	80	1.0862	0.33891	1.3244	1.4055	2.3933	6.2199	174.0868	244403
